Parcours;numero;ue obtenues
and;24;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);ihm (1);fosyma (1);dj (1)
and;25;1 , 2 , 3 , 4;anglais (1);ra (1);fosyma (1);dj (1);ihm (1)
and;26;1 , 2 , 3 , 5;anglais (1);ra (1);rp (1);dj (2);iamsi (1)
and;27;1 , 2 , 3 , 4;anglais (1);ra (1);ihm (1);iamsi (1);rp (1)
and;28;1 , 2 , 4 , 5;anglais (1);ra (1);ihm (1);fosyma (1);dj (2)
and;29;1 , 2 , 4 , 5;anglais (1);ra (1);ihm (1);fosyma (1);dj (1)
and;30;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);ihm (1);fosyma (1);dj (1)
and;31;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);rp (1);iamsi (1);ihm (1)
and;32;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);fosyma (1);ihm (1);rp (1)
and;33;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);fosyma (1);ihm (1);rp (1)
and;34;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);fosyma (1);ihm (1);rp (1)
and;35;1 , 2 , 3 , 4;anglais (1);ra (1);ihm (1);dj (2);rp (1)
and;36;1 , 2 , 3 , 4;anglais (1);ra (1);ihm (1);dj (2);rp (1)
and;37;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);dj (1);fosyma (1);ihm (1)
and;38;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);fosyma (1);rp (1);dj (2)
and;39;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);dj (2);fosyma (1);rp (1)
and;40;1 , 2 , 3 , 5;anglais (1);ra (1);rp (1);dj (2);iamsi (1)
and;41;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);rp (1);fosyma (1);ihm (1)
and;42;1 , 2 , 3 , 4 , 5;anglais (1);ra (1);fosyma (1);rp (1);dj (2)
and;43;1 , 2 , 3 , 4;anglais (1);ra (1);fosyma (1);dj (1);ihm (1)
and;44;1 , 2 , 4 , 5;anglais (1);ra (1);rp (1);dj (2);iamsi (1)
dac;1;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);rital (1);iamsi (1);bium (1)
dac;2;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);rital (1);sam (1);bium (1)
dac;3;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);iamsi (1);rital (1);bium (1)
dac;4;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);bium (1);rital (1);iamsi (1)
dac;5;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);rital (1);sam (1);bium (1)
dac;6;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);rital (1);bium (1);sam (1)
dac;7;1 , 2 , 3 , 4 , 5;anglais (1);sam (1);rital (1);ml (2);iamsi (1)
dac;8;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);rital (1);iamsi (1);sam (1)
dac;9;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);rital (1);sam (1);bium (1)
dac;10;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);iamsi (1);rital (1);bium (1)
dac;11;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);iamsi (1);rital (1);sam (1)
dac;12;1 , 2 , 3 , 4 , 5;anglais (1);iamsi (1);sam (1);ml (2);rital (1)
dac;13;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);bium (1);rital (1);sam (1)
dac;14;1 , 2 , 3 , 4 , 5;anglais (1);rital (1);sam (1);iamsi (1);ml (2)
dac;15;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);bium (1);rital (1);sam (1)
dac;16;1 , 2 , 3 , 4 , 5;anglais (1);ml (2);bium (1);iamsi (1);rital (1)
